,Time,Frequency,amplitude
567,2.835,0.263093242979,4.26057898749e-07
568,2.84,0.30302448765,4.26933354529e-07
569,2.845,0.262431529793,4.26695947487e-07
570,2.85,0.303575774638,4.27556982738e-07
571,2.855,0.261788875155,4.27319946978e-07
572,2.86,0.304118328409,4.28166358495e-07
573,2.865,0.261165177145,4.27929709011e-07
574,2.87,0.304652173187,4.28761291154e-07
575,2.875,0.260560318883,4.28525033662e-07
576,2.88,0.305177322343,4.29341578196e-07
577,2.885,0.259974167796,4.29105708989e-07
578,2.89,0.305693777497,4.29907004908e-07
579,2.895,0.259406574666,4.29671510694e-07
580,2.9,0.30620152752,4.30457344039e-07
581,2.905,0.258857372603,4.30222201765e-07
582,2.91,0.306700547222,4.30992355421e-07
583,2.915,0.258326375896,4.30757532087e-07
584,2.92,0.307190796307,4.31511785575e-07
585,2.925,0.257813378521,4.3127723803e-07
586,2.93,0.307672217558,4.32015367273e-07
587,2.935,0.257318152723,4.31781041998e-07
588,2.94,0.308144735411,4.32502819082e-07
589,2.945,0.256840447045,4.32268651953e-07
590,2.95,0.308608253754,4.32973844865e-07
591,2.955,0.256379984383,4.32739760903e-07
592,2.96,0.309062653968,4.33428133252e-07
593,2.965,0.255936459676,4.3319404635e-07
594,2.97,0.309507792155,4.33865357076e-07
595,2.975,0.255509537127,4.33631169705e-07
596,2.98,0.309943496521,4.34285172757e-07
597,2.985,0.255098847252,4.34050775657e-07
598,2.99,0.310369563973,4.3468721966e-07
599,2.995,0.2547039833,4.34452491501e-07
600,3.0,0.310785756448,4.35071119397e-07
601,3.005,0.254324497325,4.34835926416e-07
602,3.01,0.311191796546,4.35436475082e-07
603,3.015,0.253959895533,4.35200670701e-07
604,3.02,0.311587362814,4.3578287054e-07
605,3.025,0.253609632979,4.35546294944e-07
606,3.03,0.311972083878,4.36109869452e-07
607,3.035,0.253273107433,4.35872349149e-07
608,3.04,0.312345531986,4.36417014452e-07
609,3.045,0.252949652276,4.36178361792e-07
610,3.05,0.312707215372,4.36703826156e-07
611,3.055,0.252638528121,4.36463838819e-07
612,3.06,0.313056569299,4.3696980212e-07
613,3.065,0.252338913196,4.3672826257e-07
614,3.07,0.313392945651,4.37214415743e-07
615,3.075,0.252049891723,4.36971090637e-07
616,3.08,0.313715600516,4.37437115079e-07
617,3.085,0.25177044047,4.37191754641e-07
618,3.09,0.314023679472,4.37637321584e-07
619,3.095,0.251499412455,4.37389658931e-07
620,3.1,0.314316199999,4.37814428775e-07
621,3.105,0.251235517427,4.37564179202e-07
622,3.11,0.3145920301,4.3796780081e-07
623,3.115,0.250977298224,4.3771466103e-07
624,3.12,0.314849862269,4.38096770986e-07
625,3.125,0.250723101785,4.37840418321e-07
626,3.13,0.315088181446,4.38200640156e-07
627,3.135,0.250471042902,4.37940731688e-07
628,3.14,0.315305224748,4.38278675076e-07
629,3.145,0.250218959194,4.38014846756e-07
630,3.15,0.315498930491,4.38330106691e-07
631,3.155,0.249964352799,4.38061972432e-07
632,3.16,0.31566687225,4.38354128402e-07
633,3.165,0.24970431466,4.38081279151e-07
634,3.17,0.315806171617,4.38349894351e-07
635,3.175,0.249435423333,4.38071897205e-07
636,3.18,0.31591337987,4.38316517822e-07
637,3.185,0.249153605301,4.38032915227e-07
638,3.19,0.315984311581,4.3825306991e-07
639,3.195,0.248853934755,4.37963379073e-07
640,3.2,0.316013800323,4.38158578738e-07
641,3.205,0.248530332043,4.37862291466e-07
642,3.21,0.315995317645,4.38032029763e-07
643,3.215,0.24817507472,4.37728613157e-07
644,3.22,0.315920325165,4.37872368253e-07
645,3.225,0.247777916131,4.37561267215e-07
